,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
,zoom,teams,skype,hangouts,whatsapp,telegram,viber,tiktok,refugiados,inmigracion,nacionalismo,corrupcion,juicio,guerra comercial,coronavirus,pandemia,infeccion,medico,amazon,netflix,hbo,rakuten,team,cabify,taxi,glovo,just eat,deliveroo,uber eats,comida a domicilio,hacer deporte,yoga,meditacion,teletrabajo,videollamada,videoconferencia,cursos online
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-06,5,4,8,5,34,23,37,2,37,79,37,32,24,15,0,0,74,94,61,43,26,22,70,25,44,39,81,54,18,41,26,48,61,1,3,2,30
2019-01-13,5,6,8,7,35,23,50,2,49,63,22,26,26,12,0,1,74,94,51,39,24,22,67,30,51,57,77,56,16,40,27,45,54,2,2,4,29
2019-01-20,4,5,7,4,36,21,48,2,43,54,35,25,29,12,0,0,75,88,45,35,22,16,66,100,100,43,75,80,12,40,23,44,56,3,2,3,21
2019-01-27,4,5,8,5,32,21,29,1,45,56,25,31,28,7,0,0,79,98,47,36,24,22,70,77,88,56,71,61,14,52,30,48,57,2,2,4,27
2019-02-03,4,6,7,5,36,22,26,2,39,69,26,35,27,5,0,1,69,97,48,35,22,27,73,45,70,53,80,86,13,47,28,49,58,3,2,3,32
2019-02-10,4,5,7,4,37,22,46,2,37,65,42,42,100,10,0,0,77,91,47,33,21,17,72,24,49,59,79,73,19,43,31,49,65,3,2,2,28
2019-02-17,4,8,8,6,36,26,26,2,39,66,38,47,60,10,0,0,72,96,46,32,20,15,72,26,47,54,72,66,17,42,24,46,63,3,2,4,24
2019-02-24,4,6,7,4,33,23,56,2,41,51,25,35,81,5,0,0,70,84,43,29,21,22,67,22,49,56,76,73,15,45,28,44,53,3,2,4,25
2019-03-03,4,6,7,5,33,21,31,2,31,41,35,32,88,13,0,0,66,91,44,31,25,15,64,47,53,55,65,70,14,46,27,47,60,2,2,4,24
2019-03-10,4,6,8,6,45,25,47,1,34,48,38,31,74,10,0,0,69,89,45,31,29,16,68,33,51,49,68,66,15,40,33,46,56,2,2,4,28
2019-03-17,4,6,6,5,34,24,31,2,17,50,29,37,64,5,0,1,76,88,46,34,29,17,73,27,53,56,70,76,20,51,26,46,59,3,2,4,20
2019-03-24,4,7,7,6,34,24,68,3,32,56,32,31,70,10,0,0,79,91,46,32,29,16,74,27,54,49,71,57,26,50,27,47,59,3,2,3,22
2019-03-31,4,7,7,5,32,21,89,3,43,48,16,35,56,10,0,0,74,85,47,31,33,16,65,26,53,49,70,68,22,43,28,44,51,3,2,3,21
2019-04-07,4,5,6,4,32,20,54,3,27,47,30,41,51,7,0,0,79,82,44,30,43,13,69,27,53,46,65,71,20,44,31,42,56,2,2,3,27
2019-04-14,4,5,5,4,55,25,58,3,20,48,39,27,35,5,0,0,62,62,40,37,100,24,63,27,58,45,79,69,19,59,20,37,53,3,2,3,19
2019-04-21,4,6,6,5,35,26,46,2,31,92,35,68,41,10,0,0,72,81,45,32,59,20,66,28,51,43,70,90,24,43,18,37,49,3,2,3,16
2019-04-28,4,5,6,4,33,20,30,3,32,75,43,60,32,10,0,0,68,74,42,29,65,17,65,24,53,53,82,86,18,50,24,37,53,1,1,2,19
2019-05-05,4,8,7,5,35,24,64,2,47,79,28,43,39,58,0,0,71,87,44,26,55,16,67,28,54,47,65,81,21,49,25,40,57,4,3,3,18
2019-05-12,4,7,7,4,38,25,45,2,57,73,31,40,43,64,0,0,72,84,45,28,58,14,68,26,57,43,69,96,23,39,18,41,48,4,2,1,25
2019-05-19,4,7,7,4,38,25,60,1,34,64,32,53,41,100,0,0,71,87,45,29,69,17,77,28,58,49,59,82,20,39,23,41,54,4,2,3,24
2019-05-26,3,7,7,6,36,23,44,3,34,29,34,44,45,38,0,0,76,81,45,29,46,11,72,24,59,73,64,82,21,41,20,39,52,2,2,4,19
2019-06-02,4,7,6,4,36,23,53,3,37,44,25,41,39,47,0,0,69,81,47,29,51,13,80,30,58,50,66,73,20,34,26,36,55,2,1,3,19
2019-06-09,4,7,7,5,37,25,34,3,30,39,28,28,42,34,0,1,72,84,47,30,50,13,91,26,64,48,72,72,21,41,17,39,53,3,1,4,22
2019-06-16,4,7,7,4,36,25,46,3,45,44,21,39,28,17,0,0,76,81,49,35,45,12,95,30,63,51,71,74,30,42,20,43,52,3,2,1,25
2019-06-23,4,5,7,4,37,22,78,3,32,11,10,31,24,20,0,0,70,80,50,31,36,19,100,35,75,54,76,69,30,52,23,39,51,2,3,2,25
2019-06-30,4,6,7,5,60,28,46,4,29,47,11,32,21,15,0,0,71,77,50,33,35,16,91,32,72,40,69,57,30,54,17,41,54,2,2,1,21
2019-07-07,5,6,7,4,36,29,91,5,27,46,11,26,23,5,0,0,77,78,50,33,38,21,90,35,76,40,65,59,22,48,21,40,50,4,2,2,24
