date,zoom,teams,skype,hangouts,whatsapp,telegram,viber,tiktok,refugiados,inmigracion,nacionalismo,corrupcion,juicio,guerra comercial,coronavirus,pandemia,infeccion,medico,amazon,netflix,hbo,rakuten,team,cabify,taxi,glovo,just eat,deliveroo,uber eats,comida a domicilio,hacer deporte,yoga,meditacion,teletrabajo,videollamada,videoconferencia,cursos online
2019-01-06,4,4,7,5,36,24,21,2,53,69,20,29,24,6,0,0,75,91,60,44,28,18,65,19,42,39,94,53,15,53,23,49,54,1,2,6,26
2019-01-13,5,5,8,5,34,21,40,1,55,81,14,36,26,15,0,1,71,90,51,40,25,17,67,34,49,66,82,52,14,45,30,45,53,3,2,1,27
2019-01-20,4,4,7,6,35,21,53,2,49,56,36,29,27,5,0,0,74,90,45,36,22,16,62,100,100,53,82,69,13,47,27,43,44,3,2,2,27
2019-01-27,4,5,8,4,33,21,44,2,37,64,35,31,26,7,0,0,78,94,46,37,24,16,66,78,83,56,81,72,16,50,32,46,50,2,2,7,27
2019-02-03,4,6,8,6,35,20,36,2,42,55,44,31,28,4,0,0,72,94,49,36,24,25,68,48,67,53,86,92,14,48,31,48,65,4,2,3,34
2019-02-10,4,5,7,5,36,21,87,2,49,65,43,46,100,12,0,0,83,90,48,34,24,18,67,25,48,58,85,67,16,51,30,49,62,3,3,2,28
2019-02-17,4,7,7,5,35,24,41,2,37,67,34,39,62,8,0,0,71,94,47,32,21,15,75,24,45,54,76,59,14,49,28,48,59,4,2,2,25
2019-02-24,4,4,6,4,32,22,71,2,39,51,28,43,80,8,0,0,70,87,43,30,22,18,59,27,49,51,79,88,17,51,29,45,48,4,2,1,24
2019-03-03,4,4,6,5,34,20,26,2,43,58,22,29,96,8,0,0,71,90,44,32,24,17,64,44,49,47,75,85,13,46,26,45,55,2,2,4,23
2019-03-10,4,7,7,5,44,21,68,2,41,71,36,30,75,10,0,1,78,88,45,30,29,17,69,31,51,59,70,67,14,41,37,46,47,1,2,1,23
2019-03-17,5,5,7,5,35,26,37,3,42,51,35,42,64,4,0,0,68,88,45,34,27,15,75,28,55,48,81,61,23,49,28,45,57,2,2,4,22
2019-03-24,4,9,6,6,35,23,47,3,44,47,28,30,65,8,0,0,70,90,46,32,27,14,68,26,54,47,77,67,28,47,34,46,50,4,1,6,22
2019-03-31,4,6,6,5,32,22,100,2,49,56,22,30,56,6,0,1,69,85,46,32,32,15,60,28,50,60,73,70,21,48,25,45,51,3,2,6,22
2019-04-07,4,6,7,5,32,23,45,3,49,46,35,38,50,8,0,0,74,84,44,31,42,15,72,30,54,43,69,86,18,47,32,41,49,2,2,4,25
2019-04-14,4,4,5,4,56,23,64,3,30,48,33,34,35,0,0,0,68,60,41,37,100,20,59,25,53,56,86,68,17,66,24,37,47,3,1,3,15
2019-04-21,4,6,6,6,35,27,66,3,42,68,39,68,41,6,0,0,73,83,45,32,62,23,58,30,50,47,76,84,24,49,24,36,39,2,2,4,22
2019-04-28,4,6,6,4,33,22,56,3,32,75,44,54,30,6,0,0,72,74,43,29,65,18,59,20,52,50,90,87,20,51,25,39,48,2,1,1,19
2019-05-05,4,7,7,5,36,23,45,3,42,50,30,36,44,37,0,0,76,87,43,27,54,12,62,28,55,41,68,76,21,46,26,41,49,3,2,1,19
